100388,"MOBIL DTE OIL EXTRA HEAVY, 19LT",0,0,1,5,0,0,6,20,0,0,95121,492450,0,0,587571,2196689
100391,"MOBIL DTE OIL BB, 19LT",0,0,0,1,0,0,1,1,0,0,0,89600,0,0,89600,89600
100392,"MOBIL DTE OIL BB, 208LT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,917153
100395,"MOBIL VACTRA OIL N° 2, 19LT",1,2,8,8,7,0,26,37,95231,167234,668930,669682,587930,0,2189007,3294345
100396,"MOBIL VACTRA OIL N° 2, 208LT",0,0,1,1,0,1,3,5,0,0,734085,734085,0,734085,2202255,3891815
100397,"MOBIL VACTRA OIL N° 4, 19LT",0,0,1,1,0,0,2,8,0,0,83617,83617,0,0,167234,773462
100398,"MOBIL VACTRA OIL N° 4, 208LT",0,1,0,0,0,0,1,2,0,834000,0,0,0,0,834000,1678780
100408,"MOBIL 600W CYLINDER OIL, 19LT",0,0,0,1,0,0,1,1,0,0,0,79000,0,0,79000,79000
100420,"MOBIL DTE 24, 208LT",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1432704
100448,"MOBIL SHC 634, 19LT",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,573901
100452,"MOBIL SHC 626, 19LT",0,0,1,0,0,0,1,3,0,0,225055,0,0,0,225055,702609
100454,"MOBIL SHC 629, 19LT",0,0,0,0,3,0,3,4,0,0,0,0,813000,0,813000,1098288
100457,"MOBIL SHC 630, 208LT",0,0,1,0,0,0,1,1,0,0,2545060,0,0,0,2545060,2545060
100462,"MOBIL SHC 627, 19LT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,246489
100471,"MOBIL ALMO 525, 19LT",0,0,0,1,0,0,1,1,0,0,0,74646,0,0,74646,74646
100482,"MOBIL GLYGOYLE 30, 20LT",3,5,0,7,0,0,15,21,1015188,1691980,0,2368772,0,0,5075940,7230124
100520,"MOBIL RARUS 425, 19LT",0,0,5,2,2,0,9,9,0,0,323535,129414,129414,0,582363,582363
100547,"MOBIL GARGOYLE ARCTIC SHC 226, 19LT",0,0,2,0,0,0,2,2,0,0,411288,0,0,0,411288,411288
100548,"MOBIL GARGOYLE ARCTIC SHC 226, 208LT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2018220
100552,"MOBIL GARGOYLE ARCTIC OIL 300, 208LT",0,0,0,0,2,2,4,4,0,0,0,0,1983491,1930000,3913491,3913491
100560,"MOBILGARD 312, 208LT",0,0,0,1,0,0,1,1,0,0,0,576181,0,0,576181,576181
